Prueba,Efic,Presión,F(GPM),% SólidosA,% Agua A,Q m3/H,F (t/h),Solidos t/h A,Agua t/h A,Vi (m/s),Do/Dc,Du/Dc,pp (ton/m3),ps (ton/m3),fv,Vh/Vt,um(Kg/m.s),Re,(ps-pf)/pf,(ps-pp)/ps,raiz(P/pp),1/tan(teta/2)),um/uw
77,60.1137303,2,15.14,19.6,80.4,3.43,3.91,0.77,3.14,0.47,0.2425,0.11,1.14,2.6,0.09,0.58,0.00127,42937.21395,1.28,0.56,1.11,10.39,1.262
78,66.08977366,2,15,18.2,81.8,3.4,3.81,0.69,3.12,0.47,0.2425,0.11,1.12,2.6,0.08,0.61,0.00124,42850.52364,1.32,0.57,1.12,10.39,1.232
79,46.94756911,2.5,14.53,29.9,70.1,3.3,4.03,1.2,2.83,0.45,0.2425,0.14,1.22,2.6,0.14,0.41,0.00149,37568.58015,1.13,0.53,1.2,10.39,1.486
80,44.64591357,2.5,14.5,30.8,69.2,3.29,4.05,1.25,2.8,0.45,0.2425,0.14,1.23,2.6,0.15,0.4,0.00152,36993.53649,1.11,0.53,1.19,10.39,1.517
81,53.40050599,2.5,14.17,28,72,3.21,3.85,1.08,2.77,0.44,0.2425,0.14,1.2,2.6,0.13,0.44,0.00144,37109.37074,1.17,0.54,1.21,10.39,1.437
82,58.68184333,5.5,22.15,27.2,72.8,5.02,6.02,1.64,4.38,0.69,0.2425,0.14,1.2,2.6,0.13,0.45,0.00143,58714.86153,1.17,0.54,1.8,10.39,1.421
83,64.95580574,5.5,24.27,23.4,76.6,5.5,6.38,1.49,4.89,0.75,0.2425,0.14,1.16,2.6,0.1,0.52,0.00134,66461.77462,1.24,0.55,1.83,10.39,1.33
84,70.22318022,6,25.81,20.1,79.9,5.85,6.67,1.34,5.33,0.8,0.2425,0.14,1.14,2.6,0.09,0.57,0.00127,72872.23797,1.28,0.56,1.92,10.39,1.268
85,34.42790554,13.5,34.87,29.6,70.4,7.91,9.65,2.86,6.79,1.08,0.2425,0.14,1.22,2.6,0.14,0.41,0.00149,90190.67724,1.13,0.53,2.79,10.39,1.482
86,53.66414337,8,27.77,26.4,73.6,6.3,7.5,1.98,5.52,0.86,0.2425,0.14,1.19,2.6,0.12,0.47,0.00141,74247.16266,1.18,0.54,2.17,10.39,1.4
87,53.28455543,7,26.74,25,75,6.06,7.15,1.79,5.36,0.83,0.2425,0.14,1.18,2.6,0.11,0.49,0.00138,72387.06834,1.2,0.55,2.04,10.39,1.369
88,54.65433057,6,24.76,24.4,75.6,5.62,6.63,1.62,5.01,0.77,0.2425,0.14,1.18,2.6,0.11,0.5,0.00136,67686.27836,1.2,0.55,1.89,10.39,1.357
89,51.23382507,7,26.1,27.2,72.8,5.92,7.1,1.93,5.17,0.81,0.2425,0.14,1.2,2.6,0.13,0.45,0.00143,69305.19538,1.17,0.54,2.03,10.39,1.419
90,73.29281038,4,20.95,23,77,4.75,5.51,1.27,4.24,0.65,0.2425,0.14,1.16,2.6,0.1,0.52,0.00133,57633.86433,1.24,0.55,1.56,10.39,1.325
91,48.35911369,6,24.04,25,75,5.45,6.43,1.61,4.82,0.75,0.2425,0.14,1.18,2.6,0.11,0.49,0.00138,65095.18873,1.2,0.55,1.89,10.39,1.369
92,65.70725452,3.5,19.35,23.3,76.7,4.39,5.09,1.19,3.9,0.6,0.2425,0.14,1.16,2.6,0.1,0.52,0.00134,53013.6804,1.24,0.55,1.46,10.39,1.33
93,55.28989627,7.5,26.5,24.5,75.5,6.01,7.09,1.74,5.35,0.82,0.2425,0.14,1.18,2.6,0.11,0.5,0.00137,72275.59295,1.2,0.55,2.11,10.39,1.359
94,42.30095159,8,26.56,30.2,69.8,6.02,7.4,2.23,5.17,0.83,0.2425,0.14,1.23,2.6,0.14,0.4,0.00151,68403.30483,1.12,0.53,2.14,10.39,1.499
95,48.3242435,5,21.83,28.8,71.2,4.95,6.04,1.74,4.3,0.68,0.2425,0.14,1.22,2.6,0.14,0.42,0.00147,57155.92799,1.13,0.53,1.7,10.39,1.464
96,70.61521831,3,18.24,23.6,76.4,4.14,4.8,1.13,3.67,0.57,0.2425,0.14,1.16,2.6,0.1,0.52,0.00134,49884.872,1.24,0.55,1.35,10.39,1.333
97,66.71378214,2,14.34,25.6,74.4,3.25,3.87,0.99,2.88,0.45,0.2425,0.14,1.19,2.6,0.12,0.48,0.00139,38754.95211,1.18,0.54,1.09,10.39,1.384
98,87.4628243,1.5,12.46,25.2,74.8,2.83,3.34,0.84,2.5,0.39,0.2425,0.14,1.18,2.6,0.11,0.49,0.00138,33757.06227,1.2,0.55,0.95,10.39,1.371
99,56.06834921,6,24.63,24.6,75.4,5.59,6.6,1.62,4.98,0.77,0.2425,0.14,1.18,2.6,0.11,0.49,0.00137,67257.99226,1.2,0.55,1.89,10.39,1.36
100,65.73564743,8.5,29.89,21.9,78.1,6.78,7.8,1.71,6.09,0.93,0.2425,0.14,1.15,2.6,0.1,0.54,0.00131,83016.76244,1.26,0.56,2.28,10.39,1.302
101,78.40252052,7,27.44,23.4,76.6,6.22,7.22,1.69,5.53,0.85,0.2425,0.14,1.16,2.6,0.1,0.52,0.00134,75143.1231,1.24,0.55,2.06,10.39,1.331
102,92.29211871,3,18.98,15,85,4.3,4.73,0.71,4.02,0.59,0.2425,0.14,1.1,2.6,0.06,0.67,0.00119,55427.37148,1.36,0.58,1.38,10.39,1.182
103,88.64311172,1.5,12.85,15.3,84.7,2.91,3.2,0.49,2.71,0.4,0.2425,0.14,1.1,2.6,0.06,0.67,0.00119,37367.21222,1.36,0.58,0.98,10.39,1.186
104,84.52988184,7.5,26.43,30.3,69.7,5.99,7.37,2.23,5.14,0.82,0.2425,0.2125,1.23,2.6,0.14,0.4,0.00151,67968.26996,1.11,0.53,2.07,10.39,1.502
105,92.57328338,3,15.93,28.3,71.7,3.61,4.33,1.23,3.1,0.49,0.2425,0.2125,1.2,2.6,0.13,0.44,0.00145,41519.55379,1.17,0.54,1.33,10.39,1.445
106,91.4534939,2,14.97,26.1,73.9,3.4,4.05,1.06,2.99,0.47,0.2425,0.2125,1.19,2.6,0.12,0.47,0.0014,40214.25823,1.18,0.54,1.09,10.39,1.395
107,78.89880221,12.5,32.89,30.7,69.3,7.46,9.18,2.82,6.36,1.02,0.2425,0.2125,1.23,2.6,0.15,0.4,0.00152,84054.97428,1.11,0.53,2.67,10.39,1.513
108,92.57135378,4,19.57,26.6,73.4,4.44,5.28,1.4,3.88,0.61,0.2425,0.2125,1.19,2.6,0.12,0.46,0.00141,52205.7368,1.19,0.54,1.54,10.39,1.401
109,77.77073511,11,30.32,32.6,67.4,6.88,8.6,2.8,5.8,0.94,0.2425,0.2125,1.25,2.6,0.16,0.37,0.00158,75898.35814,1.08,0.52,2.49,10.39,1.57
110,83.87489007,5.5,21.18,33.3,66.7,4.8,6,2,4,0.66,0.2425,0.2125,1.25,2.6,0.16,0.36,0.0016,52293.80746,1.08,0.52,1.76,10.39,1.59
111,90.53763697,2.5,14.23,31.6,68.4,3.23,3.97,1.25,2.72,0.44,0.2425,0.2125,1.23,2.6,0.15,0.39,0.00154,35941.33144,1.12,0.53,1.2,10.39,1.53
112,90.37357837,2.5,14.44,31.6,68.4,3.27,4.02,1.27,2.75,0.45,0.2425,0.2125,1.23,2.6,0.15,0.39,0.00154,36330.35864,1.11,0.53,1.2,10.39,1.533
113,90.39359299,3,16.84,30,70,3.82,4.66,1.4,3.26,0.52,0.2425,0.2125,1.22,2.6,0.14,0.41,0.0015,43287.64521,1.13,0.53,1.31,10.39,1.492
114,14.01766925,12,31.89,30.5,69.5,7.23,8.89,2.71,6.18,0.99,0.17975,0.11,1.23,2.6,0.14,0.4,0.00151,81725.93335,1.11,0.53,2.62,10.39,1.507
115,16.24664169,10,28.94,31,69,6.56,8.07,2.5,5.57,0.9,0.17975,0.11,1.23,2.6,0.15,0.39,0.00153,73605.6548,1.11,0.53,2.39,10.39,1.519
116,47.37766703,8,27.51,29.5,70.5,6.24,7.61,2.24,5.37,0.86,0.17975,0.11,1.22,2.6,0.14,0.42,0.00149,71353.22513,1.13,0.53,2.15,10.39,1.478
117,47.7500486,7.5,26.3,26.9,73.1,5.96,7.09,1.91,5.18,0.82,0.17975,0.11,1.19,2.6,0.12,0.46,0.00142,69670.56439,1.19,0.54,2.11,10.39,1.41
118,47.44103698,6,23.37,26.7,73.3,5.3,6.31,1.68,4.63,0.73,0.17975,0.11,1.19,2.6,0.12,0.46,0.00141,62265.621,1.18,0.54,1.88,10.39,1.404
119,56.48259347,4.5,20.16,25.4,74.6,4.57,5.44,1.38,4.06,0.63,0.17975,0.11,1.19,2.6,0.12,0.48,0.00139,54648.23822,1.18,0.54,1.63,10.39,1.379
120,79.39239365,2,14.22,22.5,77.5,3.23,3.75,0.84,2.91,0.44,0.17975,0.11,1.16,2.6,0.1,0.53,0.00132,39555.35853,1.24,0.55,1.1,10.39,1.314
121,43.25331406,4,17.06,32.9,67.1,3.87,4.84,1.59,3.25,0.53,0.17975,0.11,1.25,2.6,0.16,0.37,0.00159,42502.11946,1.08,0.52,1.5,10.39,1.578
122,13.18194731,10,29.02,30.4,69.6,6.58,8.09,2.46,5.63,0.9,0.17975,0.11,1.23,2.6,0.14,0.4,0.00151,74461.6332,1.11,0.53,2.39,10.39,1.505
123,13.20029631,10.5,29.8,29.2,70.8,6.76,8.25,2.41,5.84,0.93,0.17975,0.11,1.22,2.6,0.14,0.42,0.00148,77590.06522,1.13,0.53,2.46,10.39,1.473
124,11.20822349,10,29.52,27.2,72.8,6.7,8.04,2.19,5.85,0.92,0.17975,0.11,1.2,2.6,0.13,0.45,0.00143,78400.21933,1.17,0.54,2.42,10.39,1.421
125,13.55734629,9.5,28.86,30.4,69.6,6.55,8.06,2.45,5.61,0.9,0.17975,0.11,1.23,2.6,0.14,0.4,0.00151,74168.27052,1.11,0.53,2.33,10.39,1.506
126,32.86603074,5,18.74,34.6,65.4,4.25,5.4,1.87,3.53,0.58,0.17975,0.11,1.27,2.6,0.17,0.34,0.00165,45648.08613,1.05,0.51,1.66,10.39,1.639
127,36.71271382,6.5,22.14,32.8,67.2,5.02,6.28,2.06,4.22,0.69,0.17975,0.11,1.25,2.6,0.16,0.37,0.00158,55182.54763,1.08,0.52,1.91,10.39,1.577
128,22.55418405,7.5,25.66,27.4,72.6,5.82,6.98,1.91,5.07,0.8,0.17975,0.11,1.2,2.6,0.13,0.45,0.00143,67956.1139,1.17,0.54,2.1,10.39,1.423
129,40.08303434,5,19.9,30.3,69.7,4.51,5.55,1.68,3.87,0.62,0.17975,0.11,1.23,2.6,0.14,0.4,0.00151,51169.72839,1.11,0.53,1.69,10.39,1.503
130,24.10099982,10,31.39,23.8,76.2,7.12,8.4,2,6.4,0.98,0.17975,0.11,1.18,2.6,0.11,0.51,0.00135,86496.27991,1.2,0.55,2.44,10.39,1.346
131,58.64599803,8.5,26.66,29.9,70.1,6.05,7.38,2.21,5.17,0.83,0.17975,0.14,1.22,2.6,0.14,0.41,0.0015,68656.90406,1.13,0.53,2.21,10.39,1.489
132,67.23850361,6.5,24.137,28.1,71.9,5.47,6.56,1.84,4.72,0.75,0.17975,0.14,1.2,2.6,0.13,0.44,0.00144,63235.76339,1.17,0.54,1.95,10.39,1.437
133,77.29419061,3.5,18.46,26,74,4.19,4.99,1.3,3.69,0.57,0.17975,0.14,1.19,2.6,0.12,0.47,0.0014,49636.69318,1.18,0.54,1.44,10.39,1.393
134,84.50609857,2.5,14.97,23.9,76.1,3.4,4.01,0.96,3.05,0.47,0.17975,0.14,1.18,2.6,0.11,0.5,0.00135,41221.78304,1.2,0.55,1.22,10.39,1.348
135,84.25913223,1.5,11.16,22.4,77.6,2.53,2.93,0.66,2.27,0.35,0.17975,0.14,1.16,2.6,0.1,0.53,0.00132,30877.30695,1.25,0.55,0.95,10.39,1.315
136,71.49495987,10,31.09,24.5,75.5,7.05,8.32,2.04,6.28,0.97,0.17975,0.14,1.18,2.6,0.11,0.5,0.00137,84829.72079,1.2,0.55,2.44,10.39,1.359
